City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,port lincoln,-34.7333,135.8667,286.9,84,clear sky,7.17,AU,1690657346
140,itacarambi,-15.1022,-44.0919,305.38,24,overcast clouds,1.64,BR,1690658124
141,ust-nera,64.5667,143.2,283.86,94,light rain,2.46,RU,1690657554
142,mwinilunga,-11.7358,24.4293,291.13,30,clear sky,0.54,ZM,1690658125
143,flying fish cove,-10.4217,105.6791,296.97,88,broken clouds,5.66,CX,1690658125
144,san antonio de pale,-1.4014,5.6325,295.9,83,overcast clouds,5.97,GQ,1690658126
145,ghadamis,30.1337,9.5007,313.69,9,clear sky,4.07,LY,1690657575
146,prince george,53.9166,-122.753,296.07,57,clear sky,1.34,CA,1690657792
147,kingston,17.997,-76.7936,308.28,55,broken clouds,2.24,JM,1690657606
148,petrovsk-zabaykal'skiy,51.273,108.843,291.73,75,overcast clouds,1.9,RU,1690658127
149,sisimiut,66.9395,-53.6735,280.41,80,overcast clouds,5.21,GL,1690658127
150,kalabo,-14.97,22.6814,294.55,24,scattered clouds,0.41,ZM,1690657559
151,mburucuya,-28.0454,-58.2245,294.6,31,clear sky,3.23,AR,1690658127
152,ebon,4.582,168.6964,301.58,78,light rain,4.49,MH,1690657794
153,mahibadhoo,3.7833,72.9667,301.43,74,overcast clouds,5.28,MV,1690657628
154,mount darwin,-16.7725,31.5838,289.08,51,clear sky,0.74,ZW,1690658128
155,jayapura,-2.5333,140.7,297.81,92,overcast clouds,2.74,ID,1690657649
156,mount isa,-20.7333,139.5,284.02,93,few clouds,0.0,AU,1690657704
157,burang,30.25,81.1667,283.58,89,overcast clouds,2.14,CN,1690657974
158,antalaha,-14.9003,50.2788,294.14,74,overcast clouds,3.74,MG,1690658129
159,amga,60.8953,131.9608,284.81,77,clear sky,0.75,RU,1690657798
160,saynshand,44.8824,110.1163,301.6,29,clear sky,3.78,MN,1690657571
161,nouadhibou,20.931,-17.0347,298.14,65,few clouds,3.09,MR,1690657696
162,kenora,49.8167,-94.4337,294.69,40,broken clouds,4.63,CA,1690658130
163,olyokminsk,60.3736,120.4264,289.21,86,broken clouds,1.14,RU,1690658130
164,tiksi,71.6872,128.8694,275.52,88,clear sky,1.89,RU,1690657593
165,tadine,-21.55,167.8833,291.74,69,overcast clouds,3.03,NC,1690657605
166,benjamin aceval,-24.9667,-57.5667,298.23,42,clear sky,1.02,PY,1690658131
167,minas de marcona,-15.2119,-75.1103,293.01,54,clear sky,4.48,PE,1690657948
168,miquelon,47.0975,-56.3814,292.15,97,overcast clouds,8.29,PM,1690657679
169,ribeira brava,32.65,-17.0667,300.38,77,clear sky,1.09,PT,1690658131
170,alofi,-19.0595,-169.9187,295.31,87,light rain,8.95,NU,1690657779
171,tura,25.5198,90.2201,297.24,95,overcast clouds,1.57,IN,1690657604
172,aral,40.5156,81.2636,297.13,44,clear sky,5.48,CN,1690657520
173,kuqa,41.7278,82.9364,297.84,48,overcast clouds,3.61,CN,1690657733
174,atafu village,-8.5421,-172.5159,301.08,72,overcast clouds,5.22,TK,1690657681
175,petropavlovsk-kamchatsky,53.0452,158.6483,286.48,100,broken clouds,0.0,RU,1690657643
176,lebu,-37.6167,-73.65,287.49,87,overcast clouds,3.08,CL,1690657640
177,hamma bouziane,36.412,6.596,304.58,58,few clouds,3.6,DZ,1690658133
178,choyr,46.3611,108.3611,296.48,43,clear sky,3.07,MN,1690658133
179,bubaque,11.2833,-15.8333,298.86,91,heavy intensity rain,7.16,GW,1690658133
180,olonkinbyen,70.9221,-8.7187,279.32,90,overcast clouds,1.09,SJ,1690657600
181,puerto baquerizo moreno,-0.9,-89.6,300.7,69,broken clouds,6.69,EC,1690657944
182,st. john's,47.5649,-52.7093,297.41,78,light intensity shower rain,10.29,CA,1690657492
183,hawaiian paradise park,19.5933,-154.9731,300.78,74,scattered clouds,1.54,US,1690657611
184,montellano,36.9973,-5.5345,307.11,25,clear sky,4.69,ES,1690658134
185,san pedro pochutla,15.7333,-96.4667,306.88,55,overcast clouds,3.77,MX,1690657560
186,nagqu,31.5,92.0,278.83,87,overcast clouds,1.63,CN,1690657874
187,saint-philippe,-21.3585,55.7679,291.92,79,broken clouds,5.36,RE,1690658135
188,batticaloa,7.7102,81.6924,300.48,75,broken clouds,1.82,LK,1690658135
189,cabo san lucas,22.8909,-109.9124,309.76,55,few clouds,3.09,MX,1690657539
190,lihue,21.9789,-159.3672,300.73,81,heavy intensity rain,6.69,US,1690657668
191,saint-henri,46.6921,-71.0671,293.76,67,overcast clouds,2.47,CA,1690658136
192,dawson creek,55.7666,-120.2362,297.36,40,clear sky,3.6,CA,1690658136
193,tafuna,-14.3358,-170.72,298.91,85,moderate rain,5.18,AS,1690658136
194,bath,51.3779,-2.3591,292.25,70,clear sky,6.51,GB,1690658013
195,longyearbyen,78.2186,15.6401,282.06,66,broken clouds,5.14,SJ,1690657397
196,celaru,44.05,24.1333,299.69,39,clear sky,0.89,RO,1690658137
197,beltran,-27.8291,-64.061,298.36,28,clear sky,6.36,AR,1690658137
198,morehead city,34.7229,-76.726,307.15,84,few clouds,7.72,US,1690657919
199,la passe,45.5549,-0.8967,295.28,80,clear sky,5.47,FR,1690657643
200,bandarbeyla,9.4942,50.8122,297.3,87,clear sky,13.2,SO,1690657876
201,kampong cham,11.9934,105.4635,299.28,81,overcast clouds,4.56,KH,1690658138
202,dauphin,51.1494,-100.0502,295.23,49,clear sky,4.12,CA,1690658138
203,haiku-pauwela,20.9219,-156.3051,301.16,59,few clouds,6.69,US,1690657712
204,san nicolas de bari,22.7844,-81.9133,309.13,41,broken clouds,1.4,CU,1690658139
205,jardim do serido,-6.5844,-36.7744,306.73,29,clear sky,5.96,BR,1690658139
206,lae,-6.7221,146.9847,296.81,90,overcast clouds,2.51,PG,1690658139
207,kangar,6.4414,100.1986,300.13,88,scattered clouds,2.04,MY,1690658139
208,puerto madero,14.7208,-92.4215,300.26,100,moderate rain,2.06,MX,1690658140
209,port alfred,-33.5906,26.891,287.14,74,few clouds,1.79,ZA,1690657612
210,afaahiti,-17.75,-149.2833,299.08,77,overcast clouds,10.43,PF,1690657688
